id,food_name,portion_label,portion_grams,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,sodium_mg_per_100g,is_vegan,is_vegetarian,is_gluten_free,allergens,image_r,image_g,image_b,brightness
1,Grilled Chicken Breast,1 serving,150,155.10,29.88,0.00,3.43,0.00,72.67,0,0,1,none,166,130,98,131
2,Brown Rice,1 bowl,180,104.34,2.51,22.03,0.86,1.75,4.91,1,1,1,none,195,173,128,165
3,Mixed Salad,1 bowl,120,26.32,1.83,5.27,0.29,2.13,39.28,1,1,1,none,92,147,80,106
4,Paneer Curry,1 bowl,200,249.10,10.60,8.62,19.04,1.94,412.44,0,1,1,dairy,182,117,79,126
5,Chapati,2 pieces,80,279.18,9.25,52.69,3.52,7.08,304.42,1,1,0,gluten,198,155,108,154
6,Omelette,2 eggs,110,144.76,12.15,1.05,10.09,0.00,152.21,0,1,1,egg,217,186,102,168
7,Salmon Fillet,1 fillet,160,195.52,19.28,0.00,12.38,0.00,57.94,0,0,1,fish,222,137,117,159
8,Avocado Toast,1 slice,140,206.80,5.78,22.03,11.42,6.79,333.88,1,1,0,gluten,145,174,98,139
9,Greek Yogurt Bowl,1 bowl,170,114.68,10.60,6.71,4.76,1.46,60.88,0,1,1,dairy,226,221,199,215
10,Tofu Stir Fry,1 bowl,210,136.30,11.57,9.58,7.62,2.91,382.98,1,1,1,soy,157,143,112,137
11,Lentil Soup,1 bowl,240,109.04,8.68,19.16,0.48,7.76,353.52,1,1,1,none,171,115,67,118
12,Beef Steak,1 steak,180,254.74,24.10,0.00,18.09,0.00,56.96,0,0,1,none,139,73,61,91
13,Banana Smoothie,1 glass,300,90.24,3.37,17.24,1.14,2.52,44.19,0,1,1,dairy,227,212,137,192
14,Quinoa Bowl,1 bowl,200,112.80,4.24,20.12,1.81,2.72,13.75,1,1,1,none,199,186,138,174
15,Pasta Alfredo,1 plate,280,216.20,7.71,24.91,10.47,1.46,451.72,0,1,0,gluten|dairy,227,208,168,201
16,Veggie Burger,1 burger,220,178.60,11.57,22.99,4.76,5.82,510.64,1,1,0,gluten|soy,163,118,82,121
17,Sushi Roll,8 pieces,250,141.00,5.78,26.82,1.90,0.97,402.62,0,0,0,fish|soy,222,218,204,215
18,Fruit Bowl,1 bowl,220,61.10,0.96,15.33,0.29,2.91,1.96,1,1,1,none,205,143,100,149
19,Idli Sambar,3 idlis,260,125.02,4.63,24.91,1.14,3.40,274.96,1,1,1,none,213,197,163,191
20,Peanut Butter Sandwich,1 sandwich,150,274.48,11.57,28.74,13.33,3.88,382.98,1,1,0,peanut|gluten,177,139,92,136
21,Grilled Chicken Breast,1 serving,152,158.40,30.26,0.00,3.48,0.00,73.11,0,0,1,none,177,137,103,139
22,Brown Rice,1 bowl,183,106.56,2.54,22.36,0.87,1.76,4.94,1,1,1,none,206,180,133,173
23,Mixed Salad,1 bowl,122,26.88,1.85,5.35,0.29,2.16,39.52,1,1,1,none,103,154,85,114
24,Paneer Curry,1 bowl,203,254.40,10.74,8.75,19.36,1.96,414.96,0,1,1,dairy,193,124,84,134
25,Chapati,2 pieces,81,285.12,9.37,53.46,3.58,7.15,306.28,1,1,0,gluten,209,162,113,161
26,Omelette,2 eggs,112,147.84,12.30,1.07,10.26,0.00,153.14,0,1,1,egg,228,193,107,176
27,Salmon Fillet,1 fillet,162,199.68,19.52,0.00,12.58,0.00,58.29,0,0,1,fish,233,144,122,166
28,Avocado Toast,1 slice,142,211.20,5.86,22.36,11.62,6.86,335.92,1,1,0,gluten,156,181,103,147
29,Greek Yogurt Bowl,1 bowl,173,117.12,10.74,6.80,4.84,1.47,61.26,0,1,1,dairy,237,228,204,223
30,Tofu Stir Fry,1 bowl,213,139.20,11.71,9.72,7.74,2.94,385.32,1,1,1,soy,168,150,117,145
31,Lentil Soup,1 bowl,244,111.36,8.78,19.44,0.48,7.84,355.68,1,1,1,none,182,122,72,125
32,Beef Steak,1 steak,183,260.16,24.40,0.00,18.39,0.00,57.30,0,0,1,none,150,80,66,99
33,Banana Smoothie,1 glass,304,92.16,3.42,17.50,1.16,2.55,44.46,0,1,1,dairy,238,219,142,200
34,Quinoa Bowl,1 bowl,203,115.20,4.29,20.41,1.84,2.74,13.83,1,1,1,none,210,193,143,182
35,Pasta Alfredo,1 plate,284,220.80,7.81,25.27,10.65,1.47,454.48,0,1,0,gluten|dairy,238,215,173,209
36,Veggie Burger,1 burger,223,182.40,11.71,23.33,4.84,5.88,513.76,1,1,0,gluten|soy,174,125,87,129
37,Sushi Roll,8 pieces,254,144.00,5.86,27.22,1.94,0.98,405.08,0,0,0,fish|soy,233,225,209,222
38,Fruit Bowl,1 bowl,223,62.40,0.98,15.55,0.29,2.94,1.98,1,1,1,none,216,150,105,157
39,Idli Sambar,3 idlis,264,127.68,4.68,25.27,1.16,3.43,276.64,1,1,1,none,224,204,168,199
40,Peanut Butter Sandwich,1 sandwich,152,280.32,11.71,29.16,13.55,3.92,385.32,1,1,0,peanut|gluten,188,146,97,144
41,Grilled Chicken Breast,1 serving,155,161.70,30.63,0.00,3.54,0.00,73.56,0,0,1,none,175,133,99,136
42,Brown Rice,1 bowl,185,108.78,2.57,22.68,0.89,1.78,4.97,1,1,1,none,204,176,129,170
43,Mixed Salad,1 bowl,124,27.44,1.88,5.42,0.30,2.18,39.76,1,1,1,none,101,150,81,111
44,Paneer Curry,1 bowl,206,259.70,10.87,8.87,19.68,1.98,417.48,0,1,1,dairy,191,120,80,130
45,Chapati,2 pieces,82,291.06,9.48,54.23,3.64,7.23,308.14,1,1,0,gluten,207,158,109,158
46,Omelette,2 eggs,113,150.92,12.45,1.08,10.43,0.00,154.07,0,1,1,egg,226,189,103,173
47,Salmon Fillet,1 fillet,165,203.84,19.76,0.00,12.79,0.00,58.65,0,0,1,fish,231,140,118,163
48,Avocado Toast,1 slice,144,215.60,5.93,22.68,11.81,6.93,337.96,1,1,0,gluten,154,177,99,143
49,Greek Yogurt Bowl,1 bowl,175,119.56,10.87,6.90,4.92,1.48,61.63,0,1,1,dairy,235,224,200,220
50,Tofu Stir Fry,1 bowl,216,142.10,11.86,9.86,7.87,2.97,387.66,1,1,1,soy,166,146,113,142
51,Lentil Soup,1 bowl,247,113.68,8.89,19.72,0.49,7.92,357.84,1,1,1,none,180,118,68,122
52,Beef Steak,1 steak,185,265.58,24.70,0.00,18.70,0.00,57.65,0,0,1,none,148,76,62,95
53,Banana Smoothie,1 glass,309,94.08,3.46,17.75,1.18,2.57,44.73,0,1,1,dairy,236,215,138,196
54,Quinoa Bowl,1 bowl,206,117.60,4.35,20.71,1.87,2.77,13.92,1,1,1,none,208,189,139,179
55,Pasta Alfredo,1 plate,288,225.40,7.90,25.64,10.82,1.48,457.24,0,1,0,gluten|dairy,236,211,169,205
